supplier_id,supplier_name,region,lpi_score,tier,observed_late_rate,critical_materials_sourced,total_shortage_cost_usd,supplier_risk_score
S5,Saigon Electronics Manufacturing,Vietnam,3.3,Tier 1,0.392,1,695400.0,79.8
S10,Bangalore Tooling Systems,India,3.2,Tier 2,0.329,0,0.0,49.2
S1,Bavarian Precision Components,Germany,4.2,Tier 2,0.165,1,438900.0,42.2
S6,Hanoi Precision Parts,Vietnam,3.3,Tier 2,0.266,0,0.0,40.6
S8,Guangzhou Metalworks,China,3.6,Tier 2,0.304,0,0.0,33.0
S4,Great Lakes Bearings,United States,3.9,Tier 2,0.165,1,399000.0,31.5
S12,Queretaro Components Inc.,Mexico,3.1,Tier 2,0.316,0,0.0,31.5
S11,Monterrey Metal Supply,Mexico,3.1,Tier 2,0.304,0,0.0,30.9
S7,Shenzhen Component Group,China,3.6,Tier 2,0.266,0,0.0,29.7
S9,Pune Industrial Castings,India,3.2,Tier 1,0.304,0,0.0,28.9
S2,Rhine Industrial Supply,Germany,4.2,Tier 2,0.266,0,0.0,19.3
S3,Heartland Fasteners Co.,United States,3.9,Tier 1,0.19,0,0.0,10.1
