downtime_id,run_id,machine_id,date,reason_code,duration_minutes,cost_impact_usd
DT-1,RUN-10,M-113,2024-01-01,ELECTRICAL_FAULT,71,4970
DT-2,RUN-71,M-119,2024-01-03,OVERLOAD_STOPPAGE,5,300
DT-3,RUN-107,M-130,2024-01-04,TOOLING_CHANGEOVER,61,2745
DT-4,RUN-143,M-108,2024-01-06,ELECTRICAL_FAULT,84,5880
DT-5,RUN-151,M-120,2024-01-06,MECHANICAL_THERMAL,23,1840
DT-6,RUN-210,M-123,2024-01-08,MECHANICAL_THERMAL,83,6640
DT-7,RUN-221,M-104,2024-01-09,TOOLING_CHANGEOVER,49,2205
DT-8,RUN-224,M-110,2024-01-09,ELECTRICAL_FAULT,44,3080
DT-9,RUN-254,M-111,2024-01-10,ELECTRICAL_FAULT,109,7630
DT-10,RUN-267,M-126,2024-01-10,OVERLOAD_STOPPAGE,104,6240
DT-11,RUN-279,M-108,2024-01-11,MECHANICAL_THERMAL,69,5520
DT-12,RUN-282,M-113,2024-01-11,MECHANICAL_THERMAL,89,7120
DT-13,RUN-305,M-108,2024-01-12,MECHANICAL_THERMAL,107,8560
DT-14,RUN-324,M-129,2024-01-12,TOOLING_CHANGEOVER,79,3555
DT-15,RUN-363,M-113,2024-01-14,TOOLING_CHANGEOVER,167,7515
DT-16,RUN-380,M-102,2024-01-15,OVERLOAD_STOPPAGE,123,7380
DT-17,RUN-396,M-119,2024-01-15,MECHANICAL_THERMAL,40,3200
DT-18,RUN-491,M-105,2024-01-19,OVERLOAD_STOPPAGE,37,2220
DT-19,RUN-494,M-109,2024-01-19,ELECTRICAL_FAULT,140,9800
DT-20,RUN-527,M-117,2024-01-20,TOOLING_CHANGEOVER,93,4185
DT-21,RUN-551,M-112,2024-01-21,MECHANICAL_THERMAL,30,2400
DT-22,RUN-566,M-130,2024-01-21,MECHANICAL_THERMAL,201,16080
DT-23,RUN-668,M-122,2024-01-25,OVERLOAD_STOPPAGE,118,7080
DT-24,RUN-682,M-107,2024-01-26,MECHANICAL_THERMAL,128,10240
DT-25,RUN-690,M-116,2024-01-26,ELECTRICAL_FAULT,138,9660
DT-26,RUN-848,M-112,2024-02-01,MECHANICAL_THERMAL,106,8480
DT-27,RUN-859,M-125,2024-02-01,ELECTRICAL_FAULT,99,6930
DT-28,RUN-877,M-115,2024-02-02,OVERLOAD_STOPPAGE,31,1860
DT-29,RUN-918,M-131,2024-02-03,MECHANICAL_THERMAL,146,11680
DT-30,RUN-1054,M-101,2024-02-09,OVERLOAD_STOPPAGE,55,3300
DT-31,RUN-1076,M-125,2024-02-09,ELECTRICAL_FAULT,69,4830
DT-32,RUN-1079,M-129,2024-02-09,MECHANICAL_THERMAL,171,13680
DT-33,RUN-1124,M-120,2024-02-11,OVERLOAD_STOPPAGE,101,6060
DT-34,RUN-1147,M-115,2024-02-12,MECHANICAL_THERMAL,128,10240
DT-35,RUN-1172,M-112,2024-02-13,MECHANICAL_THERMAL,67,5360
DT-36,RUN-1234,M-123,2024-02-15,OVERLOAD_STOPPAGE,73,4380
DT-37,RUN-1251,M-108,2024-02-16,MECHANICAL_THERMAL,126,10080
